document_id,decision,first_submission_month,first_submitted_at,version_submitted_at,target_system,evaluation_domain,evaluation_setup,modality,material_origin,scoring_source,task_language
arxiv:2205.10866v1,included,2022-05,2022-05-22T16:51:24Z,2022-05-22T16:51:24Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""fr""]"
arxiv:2205.11081v4,included,2022-05,2022-05-23T06:54:56Z,2023-02-12T04:14:24Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""bn"", ""en""]"
arxiv:2205.11605v1,included,2022-05,2022-05-23T20:01:20Z,2022-05-23T20:01:20Z,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12404v3,included,2022-05,2022-05-24T23:25:02Z,2022-10-14T18:40:00Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12598v2,included,2022-05,2022-05-25T09:23:50Z,2022-11-08T06:14:13Z,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12630v1,included,2022-05,2022-05-25T10:12:17Z,2022-05-25T10:12:17Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12665v4,included,2022-05,2022-05-25T11:21:30Z,2023-05-29T06:16:41Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12673v2,included,2022-05,2022-05-25T11:37:06Z,2022-10-26T17:10:03Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2205.12689v2,included,2022-05,2022-05-25T11:49:58Z,2022-11-30T18:43:44Z,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.14334v2,included,2022-05,2022-05-28T05:02:31Z,2022-06-13T05:04:53Z,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.15051v1,included,2022-05,2022-05-30T12:31:28Z,2022-05-30T12:31:28Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""de"", ""en"", ""it"", ""ja"", ""zh""]"
arxiv:2206.04615v3,included,2022-06,2022-06-09T17:05:34Z,2023-06-12T17:51:15Z,"[""answering_model""]","[""general_or_cross_domain"", ""healthcare_biomedicine"", ""language_and_communication"", ""law_and_public_policy"", ""mathematics_and_formal_reasoning"", ""natural_sciences"", ""social_sciences_and_humanities"", ""software_and_coding""]","[""fixed_items"", ""interactive_loop""]","[""code"", ""structured_data"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment"", ""reference_or_metric""]","[""de"", ""en"", ""fa"", ""fi"", ""hi"", ""kn"", ""multilingual_unspecified"", ""pl"", ""ru"", ""sv"", ""sw"", ""zh""]"
arxiv:2206.04624v3,included,2022-06,2022-06-09T17:16:43Z,2023-03-02T09:11:34Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2206.05442v7,included,2022-06,2022-06-11T06:38:06Z,2023-06-28T04:42:05Z,"[""answering_model""]","[""mathematics_and_formal_reasoning"", ""software_and_coding""]","[""fixed_items""]","[""code"", ""image"", ""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2206.06888v1,included,2022-06,2022-06-14T14:44:34Z,2022-06-14T14:44:34Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2206.07550v3,included,2022-05,2022-05-20T07:32:57Z,2023-10-29T04:39:25Z,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2206.07796v4,included,2022-06,2022-06-15T20:18:43Z,2023-03-30T14:30:46Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code""]","[""human_or_real_world""]","[""execution_or_environment"", ""reference_or_metric""]","[""en""]"
arxiv:2206.10498v4,included,2022-06,2022-06-21T16:15:27Z,2023-11-26T01:15:41Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2206.10668v2,included,2022-06,2022-06-21T18:34:11Z,2024-01-10T06:11:56Z,"[""answering_model""]","[""language_and_communication"", ""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""execution_or_environment"", ""reference_or_metric""]","[""en"", ""multilingual_unspecified""]"
arxiv:2206.11147v2,included,2022-06,2022-06-22T14:49:24Z,2022-09-07T19:31:00Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""audio"", ""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2206.11249v3,included,2022-06,2022-06-22T17:52:30Z,2022-06-24T12:48:24Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""am"", ""ar"", ""az"", ""bn"", ""cs"", ""cy"", ""de"", ""en"", ""es"", ""fa"", ""fi"", ""fr"", ""gd"", ""gu"", ""ha"", ""hi"", ""id"", ""ig"", ""it"", ""ja"", ""jv"", ""ko"", ""ky"", ""mr"", ""my"", ""ne"", ""nl"", ""om"", ""pa"", ""pcm"", ""ps"", ""pt"", ""rn"", ""ru"", ""si"", ""so"", ""sr"", ""su"", ""sv"", ""sw"", ""ta"", ""te"", ""th"", ""ti"", ""tr"", ""uk"", ""ur"", ""uz"", ""vi"", ""yo"", ""zh""]"
arxiv:2206.11684v1,included,2022-06,2022-06-23T13:22:24Z,2022-06-23T13:22:24Z,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2206.15474v2,included,2022-06,2022-06-30T17:59:14Z,2022-10-09T23:32:19Z,"[""answering_model""]","[""finance_and_business"", ""general_or_cross_domain"", ""natural_sciences"", ""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2207.01206v4,included,2022-07,2022-07-04T05:30:22Z,2023-02-08T01:39:30Z,"[""agent_or_tool_system""]","[""finance_and_business"", ""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""image"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2207.10617v1,included,2022-07,2022-07-21T17:26:03Z,2022-07-21T17:26:03Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""structured_data"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2207.14255v1,included,2022-07,2022-07-28T17:40:47Z,2022-07-28T17:40:47Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2208.08227v4,included,2022-08,2022-08-17T11:16:52Z,2022-12-19T10:30:12Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2208.08408v2,included,2022-08,2022-08-17T17:07:35Z,2022-09-14T18:34:09Z,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2208.10264v5,included,2022-08,2022-08-18T17:54:49Z,2023-07-09T18:27:27Z,"[""answering_model""]","[""language_and_communication"", ""social_sciences_and_humanities""]","[""interactive_loop"", ""runtime_generated_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2208.12306v3,included,2022-08,2022-08-25T19:04:28Z,2023-07-10T16:51:34Z,"[""answering_model""]","[""other""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2208.13078v1,included,2022-08,2022-08-27T19:35:20Z,2022-08-27T19:35:20Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""ar"", ""bg"", ""bn"", ""cs"", ""da"", ""de"", ""el"", ""en"", ""es"", ""et"", ""fa"", ""fi"", ""fr"", ""he"", ""hi"", ""hr"", ""hu"", ""id"", ""it"", ""ja"", ""kn"", ""ko"", ""lt"", ""lv"", ""mk"", ""ml"", ""mr"", ""nl"", ""no"", ""pl"", ""pt"", ""ro"", ""ru"", ""sk"", ""sl"", ""sq"", ""sv"", ""ta"", ""te"", ""th"", ""tl"", ""tr"", ""uk"", ""ur"", ""vi"", ""zh""]"
arxiv:2209.01835v1,included,2022-09,2022-09-05T08:48:09Z,2022-09-05T08:48:09Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2209.05034v1,included,2022-09,2022-09-12T06:10:47Z,2022-09-12T06:10:47Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""zh""]"
arxiv:2209.06120v1,included,2022-09,2022-09-13T16:11:54Z,2022-09-13T16:11:54Z,"[""answering_model""]","[""law_and_public_policy""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.07760v1,included,2022-09,2022-09-16T07:38:51Z,2022-09-16T07:38:51Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.08199v4,included,2022-09,2022-09-16T23:49:00Z,2025-02-09T21:09:17Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.08524v2,included,2022-09,2022-09-18T10:19:04Z,2022-12-12T02:32:09Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""zh""]"
arxiv:2209.11252v1,included,2022-09,2022-09-22T18:01:27Z,2022-09-22T18:01:27Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""structured_data"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""as"", ""bn"", ""en"", ""gu"", ""hi"", ""kn"", ""ml"", ""mr"", ""or"", ""pa"", ""ta"", ""te""]"
arxiv:2209.12153v1,included,2022-09,2022-09-25T05:30:13Z,2022-09-25T05:30:13Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.12711v1,included,2022-09,2022-09-26T14:05:10Z,2022-09-26T14:05:10Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.13331v1,included,2022-09,2022-09-27T12:26:05Z,2022-09-27T12:26:05Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.14610v3,included,2022-09,2022-09-29T08:01:04Z,2023-03-02T07:41:55Z,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""image"", ""structured_data"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.14901v2,included,2022-09,2022-09-29T16:05:53Z,2022-12-14T02:51:59Z,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.01240v4,included,2022-10,2022-10-03T21:34:32Z,2023-03-02T03:54:28Z,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.01241v3,included,2022-10,2022-10-03T21:38:29Z,2023-03-01T01:31:17Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""de"", ""en""]"
arxiv:2210.01478v3,included,2022-10,2022-10-04T09:04:27Z,2022-10-27T17:29:55Z,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.02506v1,included,2022-10,2022-10-05T18:44:35Z,2022-10-05T18:44:35Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.02890v2,included,2022-10,2022-10-06T13:08:41Z,2022-11-03T00:33:48Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.03057v1,included,2022-10,2022-10-06T17:03:34Z,2022-10-06T17:03:34Z,"[""answering_model""]","[""language_and_communication"", ""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""bn"", ""de"", ""en"", ""es"", ""fr"", ""ja"", ""ru"", ""sw"", ""te"", ""th"", ""zh""]"
arxiv:2210.03849v1,included,2022-10,2022-10-07T23:48:50Z,2022-10-07T23:48:50Z,"[""answering_model""]","[""finance_and_business"", ""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""structured_data"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2210.03992v3,included,2022-10,2022-10-08T10:24:39Z,2023-01-02T08:17:47Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""de"", ""en"", ""es"", ""fr"", ""it"", ""ja"", ""ko"", ""ru""]"
arxiv:2210.04191v2,included,2022-10,2022-10-09T07:16:58Z,2023-02-13T03:09:06Z,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.06376v1,included,2022-10,2022-10-12T16:26:59Z,2022-10-12T16:26:59Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.07109v1,included,2022-10,2022-10-13T15:43:39Z,2022-10-13T15:43:39Z,"[""answering_model""]","[""language_and_communication"", ""other""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2210.07471v2,included,2022-10,2022-10-14T02:46:06Z,2023-02-03T02:12:37Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2210.07993v1,included,2022-10,2022-10-14T17:46:05Z,2022-10-14T17:46:05Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2210.08750v1,included,2022-10,2022-10-17T05:06:38Z,2022-10-17T05:06:38Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""ko""]"
