window,year,group,field,label,n,valid_n,missing_n,included_n,share,sentinel_present_n,known_n,known_positive_n,known_share,sparse
observed,all,domain:cybersecurity,scoring_source,other_model_judge,41,740,0,740,0.05540540540540541,4,736,41,0.05570652173913043,False
observed,all,domain:cybersecurity,scoring_source,reference_or_metric,359,740,0,740,0.4851351351351351,4,736,359,0.48777173913043476,False
observed,all,domain:cybersecurity,scoring_source,unclear,4,740,0,740,0.005405405405405406,4,736,0,0.0,False
observed,all,domain:education,scoring_source,execution_or_environment,37,321,0,321,0.11526479750778816,1,320,37,0.115625,False
observed,all,domain:education,scoring_source,human_judge,41,321,0,321,0.1277258566978193,1,320,41,0.128125,False
observed,all,domain:education,scoring_source,llm_judge,162,321,0,321,0.5046728971962616,1,320,162,0.50625,False
observed,all,domain:education,scoring_source,other_model_judge,28,321,0,321,0.08722741433021806,1,320,28,0.0875,False
observed,all,domain:education,scoring_source,reference_or_metric,200,321,0,321,0.6230529595015576,1,320,200,0.625,False
observed,all,domain:education,scoring_source,unclear,1,321,0,321,0.003115264797507788,1,320,0,0.0,False
observed,all,domain:engineering,scoring_source,execution_or_environment,441,1045,0,1045,0.42200956937799045,0,1045,441,0.42200956937799045,False
observed,all,domain:engineering,scoring_source,human_judge,72,1045,0,1045,0.06889952153110047,0,1045,72,0.06889952153110047,False
observed,all,domain:engineering,scoring_source,llm_judge,292,1045,0,1045,0.2794258373205742,0,1045,292,0.2794258373205742,False
observed,all,domain:engineering,scoring_source,other_model_judge,59,1045,0,1045,0.05645933014354067,0,1045,59,0.05645933014354067,False
observed,all,domain:engineering,scoring_source,reference_or_metric,567,1045,0,1045,0.5425837320574163,0,1045,567,0.5425837320574163,False
observed,all,domain:engineering,scoring_source,unclear,0,1045,0,1045,0.0,0,1045,0,0.0,False
observed,all,domain:finance_and_business,scoring_source,execution_or_environment,335,1325,0,1325,0.2528301886792453,2,1323,335,0.25321239606953894,False
observed,all,domain:finance_and_business,scoring_source,human_judge,70,1325,0,1325,0.052830188679245285,2,1323,70,0.05291005291005291,False
observed,all,domain:finance_and_business,scoring_source,llm_judge,572,1325,0,1325,0.4316981132075472,2,1323,572,0.4323507180650038,False
observed,all,domain:finance_and_business,scoring_source,other_model_judge,89,1325,0,1325,0.06716981132075471,2,1323,89,0.0672713529856387,False
observed,all,domain:finance_and_business,scoring_source,reference_or_metric,798,1325,0,1325,0.6022641509433962,2,1323,798,0.6031746031746031,False
observed,all,domain:finance_and_business,scoring_source,unclear,2,1325,0,1325,0.0015094339622641509,2,1323,0,0.0,False
observed,all,domain:general_or_cross_domain,scoring_source,execution_or_environment,1055,6197,3,6200,0.1702436662901404,6,6191,1055,0.17040865772896138,False
observed,all,domain:general_or_cross_domain,scoring_source,human_judge,353,6197,3,6200,0.05696304663546878,6,6191,353,0.057018252301728314,False
observed,all,domain:general_or_cross_domain,scoring_source,llm_judge,2463,6197,3,6200,0.39745037921574955,6,6191,2463,0.3978355677596511,False
observed,all,domain:general_or_cross_domain,scoring_source,other_model_judge,491,6197,3,6200,0.07923188639664354,6,6191,491,0.0793086738814408,False
observed,all,domain:general_or_cross_domain,scoring_source,reference_or_metric,4208,6197,3,6200,0.6790382443117637,6,6191,4208,0.679696333387175,False
observed,all,domain:general_or_cross_domain,scoring_source,unclear,6,6197,3,6200,0.0009682104243989027,6,6191,0,0.0,False
observed,all,domain:healthcare_biomedicine,scoring_source,execution_or_environment,158,1674,1,1675,0.09438470728793309,2,1672,158,0.09449760765550239,False
observed,all,domain:healthcare_biomedicine,scoring_source,human_judge,148,1674,1,1675,0.0884109916367981,2,1672,148,0.08851674641148326,False
observed,all,domain:healthcare_biomedicine,scoring_source,llm_judge,750,1674,1,1675,0.44802867383512546,2,1672,750,0.4485645933014354,False
observed,all,domain:healthcare_biomedicine,scoring_source,other_model_judge,200,1674,1,1675,0.11947431302270012,2,1672,200,0.11961722488038277,False
observed,all,domain:healthcare_biomedicine,scoring_source,reference_or_metric,1207,1674,1,1675,0.7210274790919953,2,1672,1207,0.72188995215311,False
observed,all,domain:healthcare_biomedicine,scoring_source,unclear,2,1674,1,1675,0.0011947431302270011,2,1672,0,0.0,False
observed,all,domain:language_and_communication,scoring_source,execution_or_environment,150,2280,1,2281,0.06578947368421052,1,2279,150,0.06581834137779728,False
observed,all,domain:language_and_communication,scoring_source,human_judge,290,2280,1,2281,0.12719298245614036,1,2279,290,0.12724879333040806,False
observed,all,domain:language_and_communication,scoring_source,llm_judge,769,2280,1,2281,0.33728070175438596,1,2279,769,0.33742869679684073,False
observed,all,domain:language_and_communication,scoring_source,other_model_judge,398,2280,1,2281,0.17456140350877192,1,2279,398,0.17463799912242212,False
observed,all,domain:language_and_communication,scoring_source,reference_or_metric,1786,2280,1,2281,0.7833333333333333,1,2279,1786,0.7836770513383062,False
observed,all,domain:language_and_communication,scoring_source,unclear,1,2280,1,2281,0.0004385964912280702,1,2279,0,0.0,False
observed,all,domain:law_and_public_policy,scoring_source,execution_or_environment,47,510,1,511,0.09215686274509804,1,509,47,0.09233791748526522,False
observed,all,domain:law_and_public_policy,scoring_source,human_judge,47,510,1,511,0.09215686274509804,1,509,47,0.09233791748526522,False
observed,all,domain:law_and_public_policy,scoring_source,llm_judge,248,510,1,511,0.48627450980392156,1,509,248,0.48722986247544203,False
observed,all,domain:law_and_public_policy,scoring_source,other_model_judge,53,510,1,511,0.10392156862745099,1,509,53,0.10412573673870335,False
observed,all,domain:law_and_public_policy,scoring_source,reference_or_metric,354,510,1,511,0.6941176470588235,1,509,354,0.6954813359528488,False
observed,all,domain:law_and_public_policy,scoring_source,unclear,1,510,1,511,0.00196078431372549,1,509,0,0.0,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,execution_or_environment,472,1587,0,1587,0.297416509136736,2,1585,472,0.29779179810725553,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,human_judge,84,1587,0,1587,0.052930056710775046,2,1585,84,0.05299684542586751,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,llm_judge,460,1587,0,1587,0.2898550724637681,2,1585,460,0.2902208201892745,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,other_model_judge,78,1587,0,1587,0.04914933837429111,2,1585,78,0.04921135646687697,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,reference_or_metric,1111,1587,0,1587,0.7000630119722747,2,1585,1111,0.7009463722397477,False
observed,all,domain:mathematics_and_formal_reasoning,scoring_source,unclear,2,1587,0,1587,0.001260239445494644,2,1585,0,0.0,False
observed,all,domain:natural_sciences,scoring_source,execution_or_environment,236,1272,1,1273,0.18553459119496854,1,1271,236,0.18568056648308418,False
observed,all,domain:natural_sciences,scoring_source,human_judge,91,1272,1,1273,0.07154088050314465,1,1271,91,0.07159716758457907,False
observed,all,domain:natural_sciences,scoring_source,llm_judge,529,1272,1,1273,0.4158805031446541,1,1271,529,0.4162077104642014,False
observed,all,domain:natural_sciences,scoring_source,other_model_judge,98,1272,1,1273,0.0770440251572327,1,1271,98,0.07710464201416208,False
observed,all,domain:natural_sciences,scoring_source,reference_or_metric,925,1272,1,1273,0.7272012578616353,1,1271,925,0.7277734067663257,False
observed,all,domain:natural_sciences,scoring_source,unclear,1,1272,1,1273,0.0007861635220125787,1,1271,0,0.0,False
observed,all,domain:other,scoring_source,execution_or_environment,111,566,0,566,0.196113074204947,0,566,111,0.196113074204947,False
observed,all,domain:other,scoring_source,human_judge,42,566,0,566,0.07420494699646643,0,566,42,0.07420494699646643,False
observed,all,domain:other,scoring_source,llm_judge,215,566,0,566,0.37985865724381623,0,566,215,0.37985865724381623,False
observed,all,domain:other,scoring_source,other_model_judge,51,566,0,566,0.09010600706713781,0,566,51,0.09010600706713781,False
observed,all,domain:other,scoring_source,reference_or_metric,413,566,0,566,0.7296819787985865,0,566,413,0.7296819787985865,False
observed,all,domain:other,scoring_source,unclear,0,566,0,566,0.0,0,566,0,0.0,False
observed,all,domain:social_sciences_and_humanities,scoring_source,execution_or_environment,95,1699,0,1699,0.055915244261330196,3,1696,95,0.05601415094339623,False
observed,all,domain:social_sciences_and_humanities,scoring_source,human_judge,139,1699,0,1699,0.08181283107710417,3,1696,139,0.08195754716981132,False
observed,all,domain:social_sciences_and_humanities,scoring_source,llm_judge,634,1699,0,1699,0.3731606827545615,3,1696,634,0.3738207547169811,False
observed,all,domain:social_sciences_and_humanities,scoring_source,other_model_judge,201,1699,0,1699,0.11830488522660389,3,1696,201,0.11851415094339622,False
observed,all,domain:social_sciences_and_humanities,scoring_source,reference_or_metric,1272,1699,0,1699,0.7486756915832843,3,1696,1272,0.75,False
observed,all,domain:social_sciences_and_humanities,scoring_source,unclear,3,1699,0,1699,0.0017657445556209534,3,1696,0,0.0,False
observed,all,domain:software_and_coding,scoring_source,execution_or_environment,1678,2653,0,2653,0.6324915190350546,3,2650,1678,0.6332075471698113,False
observed,all,domain:software_and_coding,scoring_source,human_judge,161,2653,0,2653,0.06068601583113457,3,2650,161,0.06075471698113208,False
observed,all,domain:software_and_coding,scoring_source,llm_judge,774,2653,0,2653,0.2917451941198643,3,2650,774,0.2920754716981132,False
observed,all,domain:software_and_coding,scoring_source,other_model_judge,139,2653,0,2653,0.052393516773464,3,2650,139,0.052452830188679245,False
observed,all,domain:software_and_coding,scoring_source,reference_or_metric,1130,2653,0,2653,0.42593290614398793,3,2650,1130,0.42641509433962266,False
observed,all,domain:software_and_coding,scoring_source,unclear,3,2653,0,2653,0.0011307953260459858,3,2650,0,0.0,False
observed,2022,all,scoring_source,execution_or_environment,28,160,0,160,0.175,0,160,28,0.175,False
observed,2022,all,scoring_source,human_judge,27,160,0,160,0.16875,0,160,27,0.16875,False
observed,2022,all,scoring_source,llm_judge,0,160,0,160,0.0,0,160,0,0.0,False
observed,2022,all,scoring_source,other_model_judge,25,160,0,160,0.15625,0,160,25,0.15625,False
observed,2022,all,scoring_source,reference_or_metric,137,160,0,160,0.85625,0,160,137,0.85625,False
observed,2022,all,scoring_source,unclear,0,160,0,160,0.0,0,160,0,0.0,False
observed,2022,agent,scoring_source,execution_or_environment,2,4,0,4,0.5,0,4,2,0.5,True
observed,2022,agent,scoring_source,human_judge,0,4,0,4,0.0,0,4,0,0.0,True
observed,2022,agent,scoring_source,llm_judge,0,4,0,4,0.0,0,4,0,0.0,True
observed,2022,agent,scoring_source,other_model_judge,1,4,0,4,0.25,0,4,1,0.25,True
observed,2022,agent,scoring_source,reference_or_metric,3,4,0,4,0.75,0,4,3,0.75,True
observed,2022,agent,scoring_source,unclear,0,4,0,4,0.0,0,4,0,0.0,True
observed,2022,non_agent,scoring_source,execution_or_environment,26,156,0,156,0.16666666666666666,0,156,26,0.16666666666666666,False
observed,2022,non_agent,scoring_source,human_judge,27,156,0,156,0.17307692307692307,0,156,27,0.17307692307692307,False
observed,2022,non_agent,scoring_source,llm_judge,0,156,0,156,0.0,0,156,0,0.0,False
observed,2022,non_agent,scoring_source,other_model_judge,24,156,0,156,0.15384615384615385,0,156,24,0.15384615384615385,False
observed,2022,non_agent,scoring_source,reference_or_metric,134,156,0,156,0.8589743589743589,0,156,134,0.8589743589743589,False
observed,2022,non_agent,scoring_source,unclear,0,156,0,156,0.0,0,156,0,0.0,False
observed,2022,domain:cybersecurity,scoring_source,execution_or_environment,0,1,0,1,0.0,0,1,0,0.0,True
observed,2022,domain:cybersecurity,scoring_source,human_judge,0,1,0,1,0.0,0,1,0,0.0,True
observed,2022,domain:cybersecurity,scoring_source,llm_judge,0,1,0,1,0.0,0,1,0,0.0,True
observed,2022,domain:cybersecurity,scoring_source,other_model_judge,0,1,0,1,0.0,0,1,0,0.0,True
observed,2022,domain:cybersecurity,scoring_source,reference_or_metric,1,1,0,1,1.0,0,1,1,1.0,True
observed,2022,domain:cybersecurity,scoring_source,unclear,0,1,0,1,0.0,0,1,0,0.0,True
observed,2022,domain:education,scoring_source,execution_or_environment,0,0,0,0,,0,0,0,,True
observed,2022,domain:education,scoring_source,human_judge,0,0,0,0,,0,0,0,,True
observed,2022,domain:education,scoring_source,llm_judge,0,0,0,0,,0,0,0,,True
observed,2022,domain:education,scoring_source,other_model_judge,0,0,0,0,,0,0,0,,True
observed,2022,domain:education,scoring_source,reference_or_metric,0,0,0,0,,0,0,0,,True
observed,2022,domain:education,scoring_source,unclear,0,0,0,0,,0,0,0,,True
observed,2022,domain:engineering,scoring_source,execution_or_environment,1,2,0,2,0.5,0,2,1,0.5,True
observed,2022,domain:engineering,scoring_source,human_judge,0,2,0,2,0.0,0,2,0,0.0,True
observed,2022,domain:engineering,scoring_source,llm_judge,0,2,0,2,0.0,0,2,0,0.0,True
observed,2022,domain:engineering,scoring_source,other_model_judge,0,2,0,2,0.0,0,2,0,0.0,True
observed,2022,domain:engineering,scoring_source,reference_or_metric,1,2,0,2,0.5,0,2,1,0.5,True
observed,2022,domain:engineering,scoring_source,unclear,0,2,0,2,0.0,0,2,0,0.0,True
observed,2022,domain:finance_and_business,scoring_source,execution_or_environment,2,5,0,5,0.4,0,5,2,0.4,True
observed,2022,domain:finance_and_business,scoring_source,human_judge,1,5,0,5,0.2,0,5,1,0.2,True
observed,2022,domain:finance_and_business,scoring_source,llm_judge,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:finance_and_business,scoring_source,other_model_judge,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:finance_and_business,scoring_source,reference_or_metric,3,5,0,5,0.6,0,5,3,0.6,True
observed,2022,domain:finance_and_business,scoring_source,unclear,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:general_or_cross_domain,scoring_source,execution_or_environment,8,53,0,53,0.1509433962264151,0,53,8,0.1509433962264151,False
observed,2022,domain:general_or_cross_domain,scoring_source,human_judge,9,53,0,53,0.16981132075471697,0,53,9,0.16981132075471697,False
observed,2022,domain:general_or_cross_domain,scoring_source,llm_judge,0,53,0,53,0.0,0,53,0,0.0,False
observed,2022,domain:general_or_cross_domain,scoring_source,other_model_judge,8,53,0,53,0.1509433962264151,0,53,8,0.1509433962264151,False
observed,2022,domain:general_or_cross_domain,scoring_source,reference_or_metric,45,53,0,53,0.8490566037735849,0,53,45,0.8490566037735849,False
observed,2022,domain:general_or_cross_domain,scoring_source,unclear,0,53,0,53,0.0,0,53,0,0.0,False
observed,2022,domain:healthcare_biomedicine,scoring_source,execution_or_environment,1,9,0,9,0.1111111111111111,0,9,1,0.1111111111111111,True
observed,2022,domain:healthcare_biomedicine,scoring_source,human_judge,1,9,0,9,0.1111111111111111,0,9,1,0.1111111111111111,True
observed,2022,domain:healthcare_biomedicine,scoring_source,llm_judge,0,9,0,9,0.0,0,9,0,0.0,True
observed,2022,domain:healthcare_biomedicine,scoring_source,other_model_judge,3,9,0,9,0.3333333333333333,0,9,3,0.3333333333333333,True
observed,2022,domain:healthcare_biomedicine,scoring_source,reference_or_metric,9,9,0,9,1.0,0,9,9,1.0,True
observed,2022,domain:healthcare_biomedicine,scoring_source,unclear,0,9,0,9,0.0,0,9,0,0.0,True
observed,2022,domain:language_and_communication,scoring_source,execution_or_environment,6,90,0,90,0.06666666666666667,0,90,6,0.06666666666666667,False
observed,2022,domain:language_and_communication,scoring_source,human_judge,19,90,0,90,0.2111111111111111,0,90,19,0.2111111111111111,False
observed,2022,domain:language_and_communication,scoring_source,llm_judge,0,90,0,90,0.0,0,90,0,0.0,False
observed,2022,domain:language_and_communication,scoring_source,other_model_judge,17,90,0,90,0.18888888888888888,0,90,17,0.18888888888888888,False
observed,2022,domain:language_and_communication,scoring_source,reference_or_metric,87,90,0,90,0.9666666666666667,0,90,87,0.9666666666666667,False
observed,2022,domain:language_and_communication,scoring_source,unclear,0,90,0,90,0.0,0,90,0,0.0,False
observed,2022,domain:law_and_public_policy,scoring_source,execution_or_environment,2,4,0,4,0.5,0,4,2,0.5,True
observed,2022,domain:law_and_public_policy,scoring_source,human_judge,1,4,0,4,0.25,0,4,1,0.25,True
observed,2022,domain:law_and_public_policy,scoring_source,llm_judge,0,4,0,4,0.0,0,4,0,0.0,True
observed,2022,domain:law_and_public_policy,scoring_source,other_model_judge,1,4,0,4,0.25,0,4,1,0.25,True
observed,2022,domain:law_and_public_policy,scoring_source,reference_or_metric,4,4,0,4,1.0,0,4,4,1.0,True
observed,2022,domain:law_and_public_policy,scoring_source,unclear,0,4,0,4,0.0,0,4,0,0.0,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,execution_or_environment,6,16,0,16,0.375,0,16,6,0.375,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,human_judge,2,16,0,16,0.125,0,16,2,0.125,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,llm_judge,0,16,0,16,0.0,0,16,0,0.0,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,other_model_judge,1,16,0,16,0.0625,0,16,1,0.0625,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,reference_or_metric,14,16,0,16,0.875,0,16,14,0.875,True
observed,2022,domain:mathematics_and_formal_reasoning,scoring_source,unclear,0,16,0,16,0.0,0,16,0,0.0,True
observed,2022,domain:natural_sciences,scoring_source,execution_or_environment,3,7,0,7,0.42857142857142855,0,7,3,0.42857142857142855,True
observed,2022,domain:natural_sciences,scoring_source,human_judge,1,7,0,7,0.14285714285714285,0,7,1,0.14285714285714285,True
observed,2022,domain:natural_sciences,scoring_source,llm_judge,0,7,0,7,0.0,0,7,0,0.0,True
observed,2022,domain:natural_sciences,scoring_source,other_model_judge,0,7,0,7,0.0,0,7,0,0.0,True
observed,2022,domain:natural_sciences,scoring_source,reference_or_metric,6,7,0,7,0.8571428571428571,0,7,6,0.8571428571428571,True
observed,2022,domain:natural_sciences,scoring_source,unclear,0,7,0,7,0.0,0,7,0,0.0,True
observed,2022,domain:other,scoring_source,execution_or_environment,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:other,scoring_source,human_judge,2,5,0,5,0.4,0,5,2,0.4,True
observed,2022,domain:other,scoring_source,llm_judge,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:other,scoring_source,other_model_judge,2,5,0,5,0.4,0,5,2,0.4,True
observed,2022,domain:other,scoring_source,reference_or_metric,5,5,0,5,1.0,0,5,5,1.0,True
observed,2022,domain:other,scoring_source,unclear,0,5,0,5,0.0,0,5,0,0.0,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,execution_or_environment,2,15,0,15,0.13333333333333333,0,15,2,0.13333333333333333,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,human_judge,4,15,0,15,0.26666666666666666,0,15,4,0.26666666666666666,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,llm_judge,0,15,0,15,0.0,0,15,0,0.0,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,other_model_judge,2,15,0,15,0.13333333333333333,0,15,2,0.13333333333333333,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,reference_or_metric,14,15,0,15,0.9333333333333333,0,15,14,0.9333333333333333,True
observed,2022,domain:social_sciences_and_humanities,scoring_source,unclear,0,15,0,15,0.0,0,15,0,0.0,True
observed,2022,domain:software_and_coding,scoring_source,execution_or_environment,22,28,0,28,0.7857142857142857,0,28,22,0.7857142857142857,False
observed,2022,domain:software_and_coding,scoring_source,human_judge,2,28,0,28,0.07142857142857142,0,28,2,0.07142857142857142,False
observed,2022,domain:software_and_coding,scoring_source,llm_judge,0,28,0,28,0.0,0,28,0,0.0,False
observed,2022,domain:software_and_coding,scoring_source,other_model_judge,1,28,0,28,0.03571428571428571,0,28,1,0.03571428571428571,False
observed,2022,domain:software_and_coding,scoring_source,reference_or_metric,15,28,0,28,0.5357142857142857,0,28,15,0.5357142857142857,False
observed,2022,domain:software_and_coding,scoring_source,unclear,0,28,0,28,0.0,0,28,0,0.0,False
observed,2023,all,scoring_source,execution_or_environment,140,861,0,861,0.16260162601626016,0,861,140,0.16260162601626016,False
observed,2023,all,scoring_source,human_judge,156,861,0,861,0.18118466898954705,0,861,156,0.18118466898954705,False
observed,2023,all,scoring_source,llm_judge,155,861,0,861,0.1800232288037166,0,861,155,0.1800232288037166,False
observed,2023,all,scoring_source,other_model_judge,103,861,0,861,0.11962833914053426,0,861,103,0.11962833914053426,False
observed,2023,all,scoring_source,reference_or_metric,644,861,0,861,0.7479674796747967,0,861,644,0.7479674796747967,False
observed,2023,all,scoring_source,unclear,0,861,0,861,0.0,0,861,0,0.0,False
observed,2023,agent,scoring_source,execution_or_environment,37,64,0,64,0.578125,0,64,37,0.578125,False
observed,2023,agent,scoring_source,human_judge,8,64,0,64,0.125,0,64,8,0.125,False
observed,2023,agent,scoring_source,llm_judge,12,64,0,64,0.1875,0,64,12,0.1875,False
observed,2023,agent,scoring_source,other_model_judge,4,64,0,64,0.0625,0,64,4,0.0625,False
observed,2023,agent,scoring_source,reference_or_metric,34,64,0,64,0.53125,0,64,34,0.53125,False
observed,2023,agent,scoring_source,unclear,0,64,0,64,0.0,0,64,0,0.0,False
observed,2023,non_agent,scoring_source,execution_or_environment,103,797,0,797,0.12923462986198245,0,797,103,0.12923462986198245,False
observed,2023,non_agent,scoring_source,human_judge,148,797,0,797,0.18569636135508155,0,797,148,0.18569636135508155,False
observed,2023,non_agent,scoring_source,llm_judge,143,797,0,797,0.1794228356336261,0,797,143,0.1794228356336261,False
observed,2023,non_agent,scoring_source,other_model_judge,99,797,0,797,0.12421580928481807,0,797,99,0.12421580928481807,False
observed,2023,non_agent,scoring_source,reference_or_metric,610,797,0,797,0.7653701380175659,0,797,610,0.7653701380175659,False
observed,2023,non_agent,scoring_source,unclear,0,797,0,797,0.0,0,797,0,0.0,False
observed,2023,domain:cybersecurity,scoring_source,execution_or_environment,10,28,0,28,0.35714285714285715,0,28,10,0.35714285714285715,False
observed,2023,domain:cybersecurity,scoring_source,human_judge,2,28,0,28,0.07142857142857142,0,28,2,0.07142857142857142,False
observed,2023,domain:cybersecurity,scoring_source,llm_judge,7,28,0,28,0.25,0,28,7,0.25,False
observed,2023,domain:cybersecurity,scoring_source,other_model_judge,1,28,0,28,0.03571428571428571,0,28,1,0.03571428571428571,False
observed,2023,domain:cybersecurity,scoring_source,reference_or_metric,16,28,0,28,0.5714285714285714,0,28,16,0.5714285714285714,False
observed,2023,domain:cybersecurity,scoring_source,unclear,0,28,0,28,0.0,0,28,0,0.0,False
observed,2023,domain:education,scoring_source,execution_or_environment,0,14,0,14,0.0,0,14,0,0.0,True
observed,2023,domain:education,scoring_source,human_judge,4,14,0,14,0.2857142857142857,0,14,4,0.2857142857142857,True
observed,2023,domain:education,scoring_source,llm_judge,1,14,0,14,0.07142857142857142,0,14,1,0.07142857142857142,True
observed,2023,domain:education,scoring_source,other_model_judge,0,14,0,14,0.0,0,14,0,0.0,True
observed,2023,domain:education,scoring_source,reference_or_metric,11,14,0,14,0.7857142857142857,0,14,11,0.7857142857142857,True
observed,2023,domain:education,scoring_source,unclear,0,14,0,14,0.0,0,14,0,0.0,True
observed,2023,domain:engineering,scoring_source,execution_or_environment,24,46,0,46,0.5217391304347826,0,46,24,0.5217391304347826,False
observed,2023,domain:engineering,scoring_source,human_judge,7,46,0,46,0.15217391304347827,0,46,7,0.15217391304347827,False
observed,2023,domain:engineering,scoring_source,llm_judge,6,46,0,46,0.13043478260869565,0,46,6,0.13043478260869565,False
observed,2023,domain:engineering,scoring_source,other_model_judge,3,46,0,46,0.06521739130434782,0,46,3,0.06521739130434782,False
observed,2023,domain:engineering,scoring_source,reference_or_metric,24,46,0,46,0.5217391304347826,0,46,24,0.5217391304347826,False
observed,2023,domain:engineering,scoring_source,unclear,0,46,0,46,0.0,0,46,0,0.0,False
observed,2023,domain:finance_and_business,scoring_source,execution_or_environment,6,47,0,47,0.1276595744680851,0,47,6,0.1276595744680851,False
observed,2023,domain:finance_and_business,scoring_source,human_judge,9,47,0,47,0.19148936170212766,0,47,9,0.19148936170212766,False
observed,2023,domain:finance_and_business,scoring_source,llm_judge,11,47,0,47,0.23404255319148937,0,47,11,0.23404255319148937,False
observed,2023,domain:finance_and_business,scoring_source,other_model_judge,5,47,0,47,0.10638297872340426,0,47,5,0.10638297872340426,False
observed,2023,domain:finance_and_business,scoring_source,reference_or_metric,36,47,0,47,0.7659574468085106,0,47,36,0.7659574468085106,False
observed,2023,domain:finance_and_business,scoring_source,unclear,0,47,0,47,0.0,0,47,0,0.0,False
observed,2023,domain:general_or_cross_domain,scoring_source,execution_or_environment,48,420,0,420,0.11428571428571428,0,420,48,0.11428571428571428,False
observed,2023,domain:general_or_cross_domain,scoring_source,human_judge,65,420,0,420,0.15476190476190477,0,420,65,0.15476190476190477,False
observed,2023,domain:general_or_cross_domain,scoring_source,llm_judge,104,420,0,420,0.24761904761904763,0,420,104,0.24761904761904763,False
observed,2023,domain:general_or_cross_domain,scoring_source,other_model_judge,52,420,0,420,0.12380952380952381,0,420,52,0.12380952380952381,False
observed,2023,domain:general_or_cross_domain,scoring_source,reference_or_metric,319,420,0,420,0.7595238095238095,0,420,319,0.7595238095238095,False
observed,2023,domain:general_or_cross_domain,scoring_source,unclear,0,420,0,420,0.0,0,420,0,0.0,False
