document_id,first_submission_month,title,decision,target_system,evaluation_domain,evaluation_setup,modality,material_origin,scoring_source,task_language
arxiv:2202.07362v1,2022-02,MuLD: The Multitask Long Document Benchmark,included,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en"", ""de""]"
arxiv:2202.09583v1,2022-02,Models and Datasets for Cross-Lingual Summarisation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""de"", ""en"", ""fr"", ""cs""]"
arxiv:2202.12832v2,2022-02,Morphology Without Borders: Clause-Level Morphology,excluded,null,null,null,null,null,null,null
arxiv:2202.13529v1,2022-02,"KMIR: A Benchmark for Evaluating Knowledge Memorization, Identification and Reasoning Abilities of Language Models",excluded,null,null,null,null,null,null,null
arxiv:2202.13758v3,2022-02,Logical Fallacy Detection,excluded,null,null,null,null,null,null,null
arxiv:2203.03759v2,2022-03,IT5: Text-to-text Pretraining for Italian Language Understanding and Generation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""other_model_judge""]","[""it""]"
arxiv:2203.05437v2,2022-03,IndicNLG Benchmark: Multilingual Datasets for Diverse NLG Tasks in Indic Languages,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text"", ""structured_data""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""as"", ""bn"", ""gu"", ""hi"", ""kn"", ""ml"", ""mr"", ""or"", ""pa"", ""ta"", ""te""]"
arxiv:2203.05797v2,2022-03,Long Time No See! Open-Domain Conversation with Long-Term Persona Memory,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""zh""]"
arxiv:2203.06228v1,2022-03,CoDA21: Evaluating Language Understanding Capabilities of NLP Models With Context-Definition Alignment,excluded,null,null,null,null,null,null,null
arxiv:2203.08388v2,2022-03,MCoNaLa: A Benchmark for Code Generation from Multiple Natural Languages,included,"[""answering_model""]","[""software_and_coding"", ""language_and_communication""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""reference_or_metric""]","[""es"", ""ja"", ""ru""]"
arxiv:2203.08452v1,2022-03,Can Pre-trained Language Models Interpret Similes as Smart as Human?,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.10133v2,2022-03,Probing Factually Grounded Content Transfer with Factual Ablation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.11130v3,2022-03,PACS: A Dataset for Physical Audiovisual CommonSense Reasoning,excluded,null,null,null,null,null,null,null
arxiv:2203.12788v1,2022-03,Evaluating Distributional Distortion in Neural Language Modeling,included,"[""answering_model""]","[""language_and_communication""]","[""runtime_generated_items""]","[""text""]","[""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.13474v5,2022-03,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2203.13926v3,2022-03,CICERO: A Dataset for Contextualized Commonsense Inference in Dialogues,excluded,null,null,null,null,null,null,null
arxiv:2203.14371v1,2022-03,MedMCQA : A Large-scale Multi-Subject Multi-Choice Dataset for Medical domain Question Answering,excluded,null,null,null,null,null,null,null
arxiv:2204.03021v1,2022-04,The Moral Integrity Corpus: A Benchmark for Ethical Dialogue Systems,included,"[""answering_model""]","[""language_and_communication"", ""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2204.03035v1,2022-04,Hierarchical Annotation for Building A Suite of Clinical Natural Language Processing Tasks: Progress Note Understanding,excluded,null,null,null,null,null,null,null
arxiv:2204.03905v2,2022-04,BioBART: Pretraining and Evaluation of A Biomedical Generative Language Model,included,"[""answering_model""]","[""healthcare_biomedicine"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2204.04541v1,2022-04,KOBEST: Korean Balanced Evaluation of Significant Tasks,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""ko""]"
arxiv:2204.05185v3,2022-04,Uniform Complexity for Text Generation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.05660v1,2022-04,NumGLUE: A Suite of Fundamental yet Challenging Mathematical Reasoning Tasks,excluded,null,null,null,null,null,null,null
arxiv:2204.06283v2,2022-04,Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,excluded,null,null,null,null,null,null,null
arxiv:2204.07705v3,2022-04,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,included,"[""answering_model""]","[""language_and_communication"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en"", ""es"", ""ja"", ""fa"", ""hi"", ""fr"", ""zh"", ""bn"", ""de"", ""it"", ""gu"", ""ta"", ""pl"", ""ar"", ""te"", ""mr"", ""ml"", ""ur"", ""pa"", ""or"", ""pt"", ""gl"", ""he"", ""nl"", ""ca"", ""th"", ""ko"", ""id"", ""vi"", ""bg"", ""hr"", ""ru"", ""yo"", ""fil"", ""km"", ""lo"", ""sw"", ""ku"", ""sv"", ""tr"", ""ht"", ""et"", ""kn"", ""cs"", ""ms"", ""my"", ""tl"", ""so"", ""ro"", ""za"", ""as"", ""xh"", ""si"", ""ig"", ""fi""]"
arxiv:2204.10509v1,2022-04,Towards Multi-Turn Empathetic Dialogs with Positive Emotion Elicitation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""zh""]"
arxiv:2204.10878v1,2022-04,ChapterBreak: A Challenge Dataset for Long-Range Language Models,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.12632v2,2022-04,Testing the Ability of Language Models to Interpret Figurative Language,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.13778v2,2022-04,Inferring Implicit Relations in Complex Questions with Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2204.14114v1,2022-04,Developmental Negation Processing in Transformer Language Models,excluded,null,null,null,null,null,null,null
arxiv:2204.14211v3,2022-04,TemporalWiki: A Lifelong Benchmark for Training and Evaluating Ever-Evolving Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.00395v2,2022-05,ELQA: A Corpus of Metalinguistic Questions and Answers about English,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2205.02832v1,2022-05,Entity Cloze By Date: What LMs Know About Unseen Entities,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.03472v1,2022-05,"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.03534v1,2022-05,Attract me to Buy: Advertisement Copywriting Generation with Multimodal Multi-structured Information,included,"[""answering_model""]","[""language_and_communication"", ""finance_and_business""]","[""fixed_items""]","[""video"", ""text"", ""structured_data""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""zh"", ""en""]"
arxiv:2205.04652v1,2022-05,SuMe: A Dataset Towards Summarizing Biomedical Mechanisms,included,"[""answering_model""]","[""healthcare_biomedicine"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2205.05718v1,2022-05,"Structured, flexible, and robust: benchmarking and improving large language models towards more human-like behavior in out-of-distribution reasoning tasks",included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""human_judge"", ""execution_or_environment""]","[""en""]"
arxiv:2205.06303v1,2022-05,Using Natural Sentences for Understanding Biases in Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.07065v1,2022-05,What do Models Learn From Training on More Than Text? Measuring Visual Commonsense Knowledge,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.08808v1,2022-05,Evaluation of Transfer Learning for Polish with a Text-to-Text Model,included,"[""answering_model""]","[""language_and_communication"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""pl"", ""en""]"
arxiv:2205.09209v2,2022-05,"""I'm sorry to hear that"": Finding New Biases in Language Models with a Holistic Descriptor Dataset",excluded,null,null,null,null,null,null,null
arxiv:2205.09830v1,2022-05,Towards Understanding Gender-Seniority Compound Bias in Natural Language Generation,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2205.10442v1,2022-05,Down and Across: Introducing Crossword-Solving as a New NLP Benchmark,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.10712v1,2022-05,Housekeep: Tidying Virtual Households using Commonsense Reasoning,excluded,null,null,null,null,null,null,null
arxiv:2205.10782v1,2022-05,Instruction Induction: From Few Examples to Natural Language Task Descriptions,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en"", ""de"", ""es"", ""fr""]"
arxiv:2205.10866v1,2022-05,Blackbird's language matrices (BLMs): a new benchmark to investigate disentangled generalisation in neural networks,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""program_or_simulation"", ""generative_model""]","[""reference_or_metric""]","[""fr""]"
arxiv:2205.11081v4,2022-05,BanglaNLG and BanglaT5: Benchmarks and Resources for Evaluating Low-Resource Natural Language Generation in Bangla,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""bn"", ""en""]"
arxiv:2205.11605v1,2022-05,On Measuring Social Biases in Prompt-Based Multi-Task Learning,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12404v3,2022-05,FLUTE: Figurative Language Understanding through Textual Explanations,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12598v2,2022-05,RobustLR: Evaluating Robustness to Logical Perturbation in Deductive Reasoning,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12630v1,2022-05,Multimodal Knowledge Alignment with Reinforcement Learning,included,"[""answering_model""]","[""language_and_communication"", ""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12665v4,2022-05,QAMPARI: An Open-domain Question Answering Benchmark for Questions with Many Answers from Multiple Paragraphs,included,"[""answering_model""]","[""language_and_communication"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.12673v2,2022-05,InstructDial: Improving Zero and Few-shot Generalization in Dialogue through Instruction Tuning,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2205.12689v2,2022-05,Large Language Models are Few-Shot Clinical Information Extractors,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.14334v2,2022-05,Teaching Models to Express Their Uncertainty in Words,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.15051v1,2022-05,X-SCITLDR: Cross-Lingual Extreme Summarization of Scholarly Documents,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en"", ""de"", ""it"", ""zh"", ""ja""]"
arxiv:2206.01347v1,2022-06,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,excluded,null,null,null,null,null,null,null
arxiv:2206.04615v3,2022-06,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,included,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication"", ""mathematics_and_formal_reasoning"", ""software_and_coding"", ""natural_sciences"", ""social_sciences_and_humanities"", ""healthcare_biomedicine"", ""law_and_public_policy""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""code"", ""structured_data""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""execution_or_environment""]","[""en"", ""hi"", ""ru"", ""de"", ""fi"", ""sv"", ""zh"", ""pl"", ""kn"", ""sw"", ""fa"", ""multilingual_unspecified""]"
arxiv:2206.04624v3,2022-06,Factuality Enhanced Language Models for Open-Ended Text Generation,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2206.05442v7,2022-06,From Human Days to Machine Seconds: Automatically Answering and Generating Machine Learning Final Exams,included,"[""answering_model""]","[""software_and_coding"", ""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text"", ""image"", ""code""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2206.06888v1,2022-06,CERT: Continual Pre-Training on Sketches for Library-Oriented Code Generation,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2206.07550v3,2022-05,Evaluating and Inducing Personality in Pre-trained Language Models,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2206.07796v4,2022-06,FixEval: Execution-based Evaluation of Program Fixes for Programming Problems,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code""]","[""human_or_real_world""]","[""execution_or_environment"", ""reference_or_metric""]","[""en""]"
arxiv:2206.10498v4,2022-06,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2206.10668v2,2022-06,BenchCLAMP: A Benchmark for Evaluating Language Models on Syntactic and Semantic Parsing,included,"[""answering_model""]","[""language_and_communication"", ""software_and_coding""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""reference_or_metric"", ""execution_or_environment""]","[""en"", ""multilingual_unspecified""]"
arxiv:2206.10789v1,2022-06,Scaling Autoregressive Models for Content-Rich Text-to-Image Generation,excluded,null,null,null,null,null,null,null
arxiv:2206.11147v2,2022-06,reStructured Pre-training,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text"", ""audio""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2206.11249v3,2022-06,GEMv2: Multilingual NLG Benchmarking in a Single Line of Code,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""am"", ""ar"", ""az"", ""bn"", ""cs"", ""cy"", ""de"", ""en"", ""es"", ""fa"", ""fi"", ""fr"", ""gd"", ""gu"", ""ha"", ""hi"", ""ig"", ""id"", ""it"", ""ja"", ""jv"", ""ko"", ""ky"", ""mr"", ""my"", ""ne"", ""nl"", ""om"", ""pa"", ""pcm"", ""ps"", ""pt"", ""rn"", ""ru"", ""si"", ""so"", ""sr"", ""su"", ""sv"", ""sw"", ""ta"", ""te"", ""th"", ""ti"", ""tr"", ""uk"", ""ur"", ""uz"", ""vi"", ""yo"", ""zh""]"
arxiv:2206.11684v1,2022-06,Theory-Grounded Measurement of U.S. Social Stereotypes in English Language Models,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2206.12565v1,2022-06,Construct a Sentence with Multiple Specified Words,semantic_unresolved,null,null,null,null,null,null,null
arxiv:2206.15474v2,2022-06,Forecasting Future World Events with Neural Networks,included,"[""answering_model""]","[""general_or_cross_domain"", ""social_sciences_and_humanities"", ""finance_and_business"", ""natural_sciences""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2207.01206v4,2022-07,WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,included,"[""agent_or_tool_system""]","[""finance_and_business"", ""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""image""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2207.02419v1,2022-07,BioTABQA: Instruction Learning for Biomedical Table Question Answering,excluded,null,null,null,null,null,null,null
arxiv:2207.10617v1,2022-07,Leveraging Natural Supervision for Language Representation Learning and Generation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text"", ""structured_data""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2207.14255v1,2022-07,Efficient Training of Language Models to Fill in the Middle,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2208.00329v2,2022-07,PASTA: A Dataset for Modeling Participant States in Narratives,excluded,null,null,null,null,null,null,null
arxiv:2208.08227v4,2022-08,MultiPL-E: A Scalable and Extensible Approach to Benchmarking Neural Code Generation,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2208.08408v2,2022-08,Summarizing Patients Problems from Hospital Progress Notes Using Pre-trained Sequence-to-Sequence Models,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2208.10264v5,2022-08,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,included,"[""answering_model""]","[""social_sciences_and_humanities"", ""language_and_communication""]","[""runtime_generated_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2208.12306v3,2022-08,Multimedia Generative Script Learning for Task Planning,included,"[""answering_model""]","[""other""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2208.13078v1,2022-08,MDIA: A Benchmark for Multilingual Dialogue Generation in 46 Languages,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""ar"", ""bg"", ""bn"", ""cs"", ""da"", ""de"", ""el"", ""en"", ""es"", ""et"", ""fa"", ""fi"", ""fr"", ""he"", ""hi"", ""hr"", ""hu"", ""id"", ""it"", ""ja"", ""kn"", ""ko"", ""lt"", ""lv"", ""mk"", ""ml"", ""mr"", ""nl"", ""no"", ""pl"", ""pt"", ""ro"", ""ru"", ""sk"", ""sl"", ""sq"", ""sv"", ""ta"", ""te"", ""th"", ""tl"", ""tr"", ""uk"", ""ur"", ""vi"", ""zh""]"
arxiv:2209.00840v3,2022-09,FOLIO: Natural Language Reasoning with First-Order Logic,excluded,null,null,null,null,null,null,null
arxiv:2209.01835v1,2022-09,Multi-Figurative Language Generation,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2209.02970v3,2022-09,Fengshenbang 1.0: Being the Foundation of Chinese Cognitive Intelligence,excluded,null,null,null,null,null,null,null
arxiv:2209.05034v1,2022-09,CSL: A Large-scale Chinese Scientific Literature Dataset,included,"[""answering_model""]","[""language_and_communication"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""zh""]"
arxiv:2209.06120v1,2022-09,LegalBench: Prototyping a Collaborative Benchmark for Legal Reasoning,included,"[""answering_model""]","[""law_and_public_policy""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.06293v2,2022-09,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",excluded,null,null,null,null,null,null,null
arxiv:2209.07760v1,2022-09,Possible Stories: Evaluating Situated Commonsense Reasoning under Multiple Possible Scenarios,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.08199v4,2022-09,ScreenQA: Large-Scale Question-Answer Pairs over Mobile App Screenshots,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.08524v2,2022-09,A Benchmark for Understanding and Generating Dialogue between Characters in Stories,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""zh""]"
arxiv:2209.09513v2,2022-09,Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering,excluded,null,null,null,null,null,null,null
arxiv:2209.11252v1,2022-09,XF2T: Cross-lingual Fact-to-Text Generation for Low-Resource Languages,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text"", ""structured_data""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en"", ""hi"", ""mr"", ""te"", ""ta"", ""gu"", ""bn"", ""kn"", ""pa"", ""ml"", ""or"", ""as""]"
arxiv:2209.12153v1,2022-09,WinoDict: Probing language models for in-context word acquisition,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.12711v1,2022-09,Can Large Language Models Truly Understand Prompts? A Case Study with Negated Prompts,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.13331v1,2022-09,EditEval: An Instruction-Based Benchmark for Text Improvements,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.14377v1,2022-09,Clinical Language Understanding Evaluation (CLUE),excluded,null,null,null,null,null,null,null
arxiv:2209.14610v3,2022-09,Dynamic Prompt Learning via Policy Gradient for Semi-structured Mathematical Reasoning,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text"", ""image"", ""structured_data""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2209.14901v2,2022-09,DR.BENCH: Diagnostic Reasoning Benchmark for Clinical Natural Language Processing,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
